id,title,genres,release_date,original_language,budget,revenue,vote_average,runtime,popularity,vote_count,return,actores,director,companias_produccion,release_year
211672,Minions,"Family, Animation, Adventure, Comedy",2015-06-17,en,74000000.0,1156730962.0,6.4,91.0,547.488298,4729,15.631499486486486,"Sandra Bullock, Jon Hamm, Michael Keaton","Kyle Balda, Pierre Coffin","Universal Pictures, Illumination Entertainment",2015
245891,John Wick,"Action, Thriller",2014-10-22,en,20000000.0,88761661.0,7.0,101.0,183.870374,5499,4.43808305,"Keanu Reeves, Michael Nyqvist, Alfie Allen","Chad Stahelski, David Leitch","Summit Entertainment, Warner Bros., 87Eleven, DefyNite Films, MJW Films",2014
281338,War for the Planet of the Apes,"Drama, Science Fiction, War",2017-07-11,en,152000000.0,369907963.0,6.7,140.0,146.161786,1675,2.433605019736842,"Andy Serkis, Woody Harrelson, Steve Zahn",Matt Reeves,Chernin Entertainment,2017
78,Blade Runner,"Science Fiction, Drama, Thriller",1982-06-25,en,28000000.0,33139618.0,7.9,117.0,96.272374,3833,1.1835577857142856,"Harrison Ford, Rutger Hauer, Sean Young",Ridley Scott,"Shaw Brothers, Warner Bros., The Ladd Company",1982
268531,Captain Underpants: The First Epic Movie,"Action, Animation, Comedy, Family",2017-06-01,en,38000000.0,110824373.0,6.5,89.0,88.561239,159,2.9164308684210525,"Kevin Hart, Ed Helms, Thomas Middleditch",David Soren,"DreamWorks Animation, Scholastic Entertainment",2017
406990,What Happened to Monday,"Science Fiction, Thriller",2017-08-18,en,0.0,0.0,7.3,123.0,60.581223,598,0.0,"Noomi Rapace, Marwan Kenzari, Christian Rubeck",Tommy Wirkola,"Vendome Pictures, Nexus Factory, Umedia, Snd Films, Raffaella Productions, Title Media",2017
440597,Wish Upon,"Fantasy, Horror, Thriller",2017-07-07,en,0.0,0.0,5.3,90.0,59.578823,127,0.0,"Joey King, Ryan Phillippe, Sherilyn Fenn",John R. Leonetti,"Broad Green Pictures, Busted Shark Productions",2017
403119,47 Meters Down,"Drama, Thriller, Horror, Adventure",2017-06-15,en,5500000.0,44235023.0,5.1,89.0,52.854103,548,8.042731454545455,"Claire Holt, Mandy Moore, Chris Johnson",Johannes Roberts,"Dimension Films, Tea Shop & Film Company, The Fyzz Facility, Flexibon Films",2017
395834,Wind River,"Action, Crime, Mystery, Thriller",2017-08-03,en,11000000.0,184770205.0,7.4,111.0,40.796775,181,16.797291363636365,"Jeremy Renner, Elizabeth Olsen, Gil Birmingham",Taylor Sheridan,"Thunder Road Pictures, Star Thrower Entertainment, Acacia Filmed Entertainment",2017
417870,Girls Trip,Comedy,2017-07-21,en,0.0,0.0,7.1,122.0,37.964872,393,0.0,"Regina Hall, Queen Latifah, Jada Pinkett Smith",Malcolm D. Lee,"Universal Pictures, Will Packer Productions",2017
269795,2:22,"Drama, Thriller",2017-06-29,en,0.0,422.0,5.5,99.0,37.484577,277,0.0,"Michiel Huisman, Teresa Palmer, Sam Reid",Paul Currie,"Pandemonium, Lightstream Entertainment",2017
419430,Get Out,"Mystery, Thriller, Horror",2017-02-24,en,5000000.0,252434250.0,7.2,104.0,36.894806,2978,50.48685,"Daniel Kaluuya, Allison Williams, Bradley Whitford",Jordan Peele,"Blumhouse Productions, QC Entertainment, Monkeypaw Productions",2017
395992,Life,"Horror, Science Fiction, Thriller",2017-03-22,en,58000000.0,100541806.0,6.3,103.0,36.263803,1959,1.7334794137931036,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds",Daniel Espinosa,"Columbia Pictures, Skydance Productions, Sony Pictures Entertainment (SPE), Nvizage",2017
399019,The Beguiled,"Drama, Western",2017-06-23,en,10500000.0,25442939.0,5.8,93.0,36.26051,279,2.4231370476190475,"Colin Farrell, Nicole Kidman, Kirsten Dunst",Sofia Coppola,"American Zoetrope, Focus Features",2017
339846,Baywatch,"Action, Comedy",2017-05-12,en,69000000.0,177856751.0,6.1,116.0,35.637691,1829,2.577634072463768,"Dwayne Johnson, Zac Efron, Alexandra Daddario",Seth Gordon,"Paramount Pictures, Montecito Picture Company, The, Flynn Picture Company, Fremantle Productions, Seven Bucks Productions, Skydance Media, Uncharted",2017
378236,The Emoji Movie,"Comedy, Family, Animation",2017-07-28,en,50000000.0,66913939.0,5.8,86.0,33.694599,327,1.33827878,"T.J. Miller, James Corden, Anna Faris",Anthony Leondis,"Columbia Pictures, Sony Pictures Animation",2017
216015,Fifty Shades of Grey,"Drama, Romance, Thriller",2015-02-11,en,40000000.0,571006128.0,5.2,125.0,33.068431,3350,14.2751532,"Dakota Johnson, Jamie Dornan, Jennifer Ehle",Sam Taylor-Johnson,"Focus Features, Trigger Street Productions, Michael De Luca Productions",2015
157336,Interstellar,"Adventure, Drama, Science Fiction",2014-11-05,en,165000000.0,675120017.0,8.1,169.0,32.213481,11187,4.0916364666666665,"Matthew McConaughey, Jessica Chastain, Anne Hathaway",Christopher Nolan,"Paramount Pictures, Legendary Pictures, Warner Bros., Syncopy, Lynda Obst Productions",2014
195590,Collide,"Thriller, Action",2016-08-04,en,21500000.0,4811525.0,5.5,98.0,31.314013,164,0.2237918604651163,"Nicholas Hoult, Felicity Jones, Anthony Hopkins",Eran Creevy,"Silver Pictures, Automatik Entertainment, DMG Entertainment, Hands-on Producers, 42",2016
463906,The Saint,"Action, Adventure, Crime",2017-07-11,en,0.0,0.0,5.8,92.0,28.23593,41,0.0,"Adam Rayner, Eliza Dushku, Ian Ogilvy",Ernie Barbarash,Desconocido,2017
238636,The Purge: Anarchy,"Horror, Thriller",2014-07-17,en,9000000.0,108782847.0,6.6,104.0,27.756026,2008,12.086983,"Frank Grillo, Carmen Ejogo, Zach Gilford",James DeMonaco,"Universal Pictures, Why Not Productions, Platinum Dunes, Blumhouse Productions, 5150 Action",2014
225886,Sex Tape,Comedy,2014-07-17,en,40000000.0,126069509.0,5.2,97.0,27.470696,1733,3.151737725,"Cameron Diaz, Jason Segel, Rob Corddry",Jake Kasdan,"Escape Artists, Media Rights Capital, Sony Pictures Entertainment (SPE), LStar Capital",2014
12,Finding Nemo,"Animation, Family",2003-05-30,en,94000000.0,940335536.0,7.6,100.0,25.497794,6292,10.003569531914893,"Albert Brooks, Ellen DeGeneres, Alexander Gould",Andrew Stanton,Pixar Animation Studios,2003
339967,Colossal,"Action, Comedy, Drama, Fantasy, Science Fiction",2017-04-06,en,0.0,3021345.0,6.2,110.0,25.373662,394,0.0,"Anne Hathaway, Jason Sudeikis, Tim Blake Nelson",Nacho Vigalondo,"Brightlight Pictures, Sayaka Producciones Audiovisuales, Route One Entertainment, Toy Fight Productions, Neon",2017
12445,Harry Potter and the Deathly Hallows: Part 2,"Family, Fantasy, Adventure",2011-07-07,en,125000000.0,1342000000.0,7.9,130.0,24.990737,6141,10.736,"Daniel Radcliffe, Rupert Grint, Emma Watson",David Yates,"Warner Bros., Heyday Films",2011
374430,Black Mirror: White Christmas,"Drama, Horror, Mystery, Science Fiction, Thriller, TV Movie",2014-12-16,en,0.0,0.0,8.3,74.0,24.910782,211,0.0,"Jon Hamm, Rafe Spall, Oona Chaplin",Carl Tibbetts,Desconocido,2014
93456,Despicable Me 2,"Animation, Comedy, Family",2013-06-25,en,76000000.0,970761885.0,7.0,98.0,24.82355,4729,12.773182697368421,"Steve Carell, Kristen Wiig, Benjamin Bratt","Pierre Coffin, Chris Renaud","Universal Pictures, Illumination Entertainment",2013
382614,The Book of Henry,"Thriller, Drama, Crime",2017-06-16,en,10000000.0,4219536.0,7.6,105.0,24.553725,84,0.4219536,"Naomi Watts, Jaeden Lieberher, Jacob Tremblay",Colin Trevorrow,"Sidney Kimmel Entertainment, Double Nickel Entertainment",2017
397422,Rough Night,"Drama, Comedy",2017-06-15,en,20000000.0,45056771.0,5.6,101.0,24.317924,336,2.25283855,"Scarlett Johansson, Jillian Bell, Kate McKinnon",Lucia Aniello,"Sony Pictures Entertainment, Paulilu Productions",2017
176,Saw,"Horror, Mystery, Crime",2004-10-01,en,1200000.0,103911669.0,7.2,103.0,23.508433,2255,86.5930575,"Cary Elwes, Danny Glover, Monica Potter",James Wan,"Lions Gate Films, Twisted Pictures, Evolution Entertainment, Saw Productions Inc.",2004
158015,The Purge,"Science Fiction, Horror, Thriller",2013-05-31,en,3000000.0,89328627.0,6.0,86.0,23.207663,2498,29.776209,"Lena Headey, Ethan Hawke, Max Burkholder",James DeMonaco,"Universal Pictures, Why Not Productions, Platinum Dunes, Blumhouse Productions, 20th Century Fox Russia",2013
